iter	Passed	Remaining
399	36066	54100
400	36148	53997
401	36223	53884
402	36314	53796
403	36393	53689
404	36490	53608
405	36577	53514
406	36669	53427
407	36749	53323
408	36837	53229
409	36926	53137
410	37032	53071
411	37113	52967
412	37202	52876
413	37300	52797
414	37388	52703
415	37477	52612
416	37588	52552
417	37671	52452
418	37750	52346
419	37842	52258
420	37925	52159
421	38017	52070
422	38122	52000
423	38210	51909
424	38297	51813
425	38389	51726
426	38468	51622
427	38539	51505
428	38636	51425
429	38718	51325
430	38800	51223
431	38899	51145
432	38991	51058
433	39069	50952
434	39159	50862
435	39238	50758
436	39334	50675
437	39435	50600
438	39511	50491
439	39590	50387
440	39678	50295
441	39778	50217
442	39851	50106
443	39936	50010
444	40023	49916
445	40129	49847
446	40214	49750
447	40309	49666
448	40381	49555
449	40490	49488
450	40569	49384
451	40663	49299
452	40750	49206
453	40823	49096
454	40894	48982
455	40974	48881
456	41050	48775
457	41132	48675
458	41212	48574
459	41302	48485
460	41396	48401
461	41501	48328
462	41580	48225
463	41660	48125
464	41736	48019
465	41845	47951
466	41924	47850
467	42007	47751
468	42097	47663
469	42175	47559
470	42252	47456
471	42333	47356
472	42396	47236
473	42469	47129
474	42550	47029
475	42638	46937
476	42713	46833
477	42828	46770
478	42917	46680
479	43018	46602
480	43129	46537
481	43223	46452
482	43322	46372
483	43443	46315
484	43529	46221
485	43617	46130
486	43720	46055
487	43793	45946
488	43877	45851
489	43975	45770
490	44041	45656
491	44133	45569
492	44229	45485
493	44314	45390
494	44413	45310
495	44503	45220
496	44588	45126
497	44675	45034
498	44780	44960
499	44864	44864
500	44939	44760
501	45025	44666
502	45116	44578
503	45206	44488
504	45295	44398
505	45388	44311
506	45482	44226
507	45591	44155
508	45697	44081
509	45786	43991
510	45889	43913
511	45981	43825
512	46087	43752
513	46177	43661
514	46259	43564
515	46357	43482
516	46446	43391
517	46532	43298
518	46635	43220
519	46732	43137
520	46812	43039
521	46924	42969
522	46994	42861
523	47072	42760
524	47199	42704
525	47282	42608
526	47390	42534
527	47494	42457
528	47567	42352
529	47667	42270
530	47771	42193
531	47867	42108
532	47981	42039
533	48070	41948
534	48146	41847
535	48233	41754
536	48326	41667
537	48435	41593
538	48537	41513
539	48646	41439
540	48753	41363
541	48854	41282
542	48964	41209
543	49022	41092
544	49103	40994
545	49182	40895
546	49334	40856
547	49442	40780
548	49549	40704
549	49640	40615
550	49751	40541
551	49844	40453
552	49968	40390
553	50062	40303
554	50159	40218
555	50243	40122
556	50344	40040
557	50445	39958
558	50534	39866
559	50646	39793
560	50736	39703
561	50865	39642
562	50970	39563
563	51059	39471
564	51164	39392
565	51245	39293
566	51319	39190
567	51424	39111
568	51539	39039
569	51642	38958
570	51744	38876
571	51848	38795
572	51959	38720
573	52037	38619
574	52132	38533
575	52226	38444
576	52305	38345
577	52404	38260
578	52521	38188
579	52643	38121
580	52777	38061
581	52884	37982
582	52978	37893
583	53063	37798
584	53157	37709
585	53267	37632
586	53363	37545
587	53455	37454
588	53573	37383
589	53698	37315
590	53799	37231
591	53881	37134
592	53986	37053
593	54080	36964
594	54209	36899
595	54315	36817
596	54436	36747
597	54545	36667
598	54640	36579
599	54730	36487
600	54811	36388
601	54897	36294
602	54997	36208
603	55090	36119
604	55188	36032
605	55275	35938
606	55356	35840
607	55445	35747
608	55534	35655
609	55622	35561
610	55714	35471
611	55793	35372
612	55878	35277
613	55960	35180
614	56043	35083
615	56151	35003
616	56234	34907
617	56314	34809
618	56403	34716
619	56495	34626
620	56576	34528
621	56655	34430
622	56742	34336
623	56835	34246
624	56917	34150
625	56989	34048
626	57068	33949
627	57143	33849
628	57280	33785
629	57357	33686
630	57449	33595
631	57559	33515
632	57655	33427
633	57742	33333
634	57829	33240
635	57911	33144
636	57992	33047
637	58085	32957
638	58172	32864
639	58250	32766
640	58343	32675
641	58455	32596
642	58579	32524
643	58653	32423
644	58731	32325
645	58832	32239
646	58921	32147
647	58982	32039
648	59080	31952
649	59160	31855
650	59272	31776
651	59384	31696
652	59472	31603
653	59541	31500
654	59610	31397
655	59718	31315
656	59799	31219
657	59894	31130
658	59979	31036
659	60061	30941
660	60159	30853
661	60242	30758
662	60342	30671
663	60435	30581
664	60528	30491
665	60623	30402
666	60735	30322
667	60840	30238
668	60945	30154
669	61024	30057
670	61109	29962
671	61198	29870
672	61355	29811
673	61569	29780
674	61828	29769
675	62136	29781
676	62280	29714
677	62393	29632
678	62506	29550
679	62626	29471
680	62714	29377
681	62808	29286
682	62894	29190
683	62981	29096
684	63085	29010
685	63186	28922
686	63261	28822
687	63337	28722
688	63454	28642
689	63568	28559
690	63687	28479
691	63808	28400
692	63944	28327
693	64075	28252
694	64182	28166
695	64284	28078
696	64417	28003
697	64519	27915
698	64630	27830
699	64733	27742
700	64832	27653
701	64930	27562
702	65021	27470
703	65106	27374
704	65208	27285
705	65320	27201
706	65408	27107
707	65499	27013
708	65603	26926
709	65701	26836
710	65798	26744
711	65898	26655
712	65978	26558
713	66101	26477
714	66183	26380
715	66272	26286
716	66378	26199
717	66476	26109
718	66574	26018
719	66716	25945
720	66843	25866
721	66949	25778
722	67054	25690
723	67153	25599
724	67248	25508
725	67341	25415
726	67418	25316
727	67510	25223
728	67619	25137
729	67735	25052
730	67852	24969
731	67955	24879
732	68049	24787
733	68165	24702
734	68260	24610
735	68369	24523
736	68476	24436
737	68577	24345
738	68684	24258
739	68788	24168
740	68881	24076
741	69011	23996
742	69092	23898
743	69178	23803
744	69268	23709
745	69345	23611
746	69437	23517
747	69538	23427
748	69617	23329
749	69698	23232
750	69802	23143
751	69892	23049
752	69971	22952
753	70050	22854
754	70123	22755
755	70212	22661
756	70328	22575
757	70433	22486
758	70565	22406
759	70655	22312
760	70735	22215
761	70819	22119
762	70927	22031
763	71018	21937
764	71118	21846
765	71201	21750
766	71294	21658
767	71383	21563
768	71471	21469
769	71560	21375
770	71676	21289
771	71799	21205
772	71895	21113
773	71971	21014
774	72053	20918
775	72146	20825
776	72244	20734
777	72335	20640
778	72422	20546
779	72511	20451
780	72595	20356
781	72700	20266
782	72786	20172
783	72859	20073
784	72954	19981
785	73046	19887
786	73129	19792
787	73197	19692
788	73283	19598
789	73364	19502
790	73442	19405
791	73547	19315
792	73640	19222
793	73737	19130
794	73832	19038
795	73915	18943
796	74019	18853
797	74144	18768
798	74230	18673
799	74341	18585
800	74455	18497
801	74573	18410
802	74697	18325
803	74849	18246
804	74965	18159
805	75078	18070
806	75163	17975
807	75254	17882
808	75343	17788
809	75413	17689
810	75508	17596
811	75581	17499
812	75664	17403
813	75749	17308
814	75836	17214
815	75929	17121
816	76003	17024
817	76102	16932
818	76199	16840
819	76263	16740
820	76356	16647
821	76457	16556
822	76579	16469
823	76675	16377
824	76763	16283
825	76847	16188
826	76968	16101
827	77067	16009
828	77177	15919
829	77262	15824
830	77368	15734
831	77499	15648
832	77591	15555
833	77692	15464
834	77792	15372
835	77898	15281
836	78041	15198
837	78132	15104
838	78276	15020
839	78387	14931
840	78520	14845
841	78628	14754
842	78729	14662
843	78833	14571
844	78924	14477
845	79015	14383
846	79115	14291
847	79204	14196
848	79284	14101
849	79381	14008
850	79467	13913
851	79565	13821
852	79660	13728
853	79759	13635
854	79868	13544
855	79948	13449
856	80039	13355
857	80158	13266
858	80282	13177
859	80405	13089
860	80492	12994
861	80595	12902
862	80727	12815
863	80840	12724
864	80952	12634
865	81094	12548
866	81189	12454
867	81278	12360
868	81361	12265
869	81466	12173
870	81572	12081
871	81654	11985
872	81756	11893
873	81851	11800
874	81921	11703
875	82032	11611
876	82130	11518
877	82204	11422
878	82282	11326
879	82375	11233
880	82484	11141
881	82583	11048
882	82663	10953
883	82741	10857
884	82844	10765
885	82930	10670
886	83008	10574
887	83098	10480
888	83182	10386
889	83277	10292
890	83380	10200
891	83461	10105
892	83600	10017
893	83686	9922
894	83817	9833
895	83931	9742
896	84031	9649
897	84144	9557
898	84306	9471
899	84405	9378
900	84507	9285
901	84607	9192
902	84716	9100
903	84834	9008
904	84953	8917
905	85046	8823
906	85134	8729
907	85211	8633
908	85293	8538
909	85373	8443
910	85474	8350
911	85570	8256
912	85653	8161
913	85757	8069
914	85848	7974
915	85937	7880
916	86046	7788
917	86118	7692
918	86213	7598
919	86316	7505
920	86412	7412
921	86514	7319
922	86632	7227
923	86738	7134
924	86865	7043
925	86947	6948
926	87045	6854
927	87150	6761
928	87243	6667
929	87336	6573
930	87426	6479
931	87522	6385
932	87606	6291
933	87671	6195
934	87776	6102
935	87904	6010
936	87993	5916
937	88084	5822
938	88174	5728
939	88260	5633
940	88369	5540
941	88476	5447
942	88568	5353
943	88645	5258
944	88753	5165
945	88834	5070
946	88945	4977
947	89037	4883
948	89129	4789
949	89207	4695
950	89292	4600
951	89379	4506
952	89482	4413
953	89565	4318
954	89661	4224
955	89775	4131
956	89861	4037
957	89981	3944
958	90063	3850
959	90150	3756
960	90213	3661
961	90316	3567
962	90399	3473
963	90499	3379
964	90586	3285
965	90678	3191
966	90780	3097
967	90879	3004
968	90965	2910
969	91063	2816
970	91150	2722
971	91253	2628
972	91359	2535
973	91443	2440
974	91510	2346
975	91609	2252
976	91696	2158
977	91792	2064
978	91907	1971
979	91996	1877
980	92095	1783
981	92195	1689
982	92292	1596
983	92390	1502
984	92489	1408
985	92574	1314
986	92672	1220
987	92752	1126
988	92843	1032
989	92965	939
990	93036	844
991	93121	750
992	93198	656
993	93287	563
994	93379	469
995	93525	375
996	93614	281
997	93748	187
998	93832	93
999	93919	0
