iter	MAE	RMSE
235	1.798422492	2.608320515
236	1.796213222	2.605713482
237	1.792980212	2.601804668
238	1.789169212	2.596874896
239	1.787028271	2.594560275
240	1.782881729	2.589943974
241	1.779007128	2.584414284
242	1.775205674	2.580478234
243	1.771278858	2.575432938
244	1.767759895	2.570689033
245	1.763094451	2.565857448
246	1.760940614	2.563541221
247	1.758846311	2.561168776
248	1.756570175	2.558565212
249	1.755156124	2.55702469
250	1.752170585	2.553236784
251	1.748674553	2.548850089
252	1.745899836	2.545290994
253	1.74298874	2.541156519
254	1.739762918	2.537030113
255	1.736236088	2.532712098
256	1.733529207	2.529895359
257	1.730827126	2.526891897
258	1.728440472	2.523616083
259	1.725693502	2.520269045
260	1.723543147	2.517894743
261	1.721657822	2.514935411
262	1.72015423	2.513548772
263	1.716630656	2.509451601
264	1.713454682	2.504066367
265	1.710678675	2.500785055
266	1.708715556	2.498206713
267	1.707867879	2.496626812
268	1.704277084	2.493398805
269	1.700673547	2.489396862
270	1.697999197	2.484947299
271	1.695105835	2.481452469
272	1.692831312	2.478607433
273	1.69027033	2.475897677
274	1.688901851	2.474572826
275	1.68704906	2.472289611
276	1.68436945	2.469007932
277	1.682866845	2.46687758
278	1.680716476	2.463789464
279	1.678655947	2.461613829
280	1.677030701	2.459753269
281	1.674953056	2.457483825
282	1.673167474	2.455500458
283	1.671721217	2.45260937
284	1.669766123	2.450426752
285	1.667897151	2.447884147
286	1.666167471	2.44551029
287	1.6616706	2.440207049
288	1.660364675	2.43818018
289	1.657615982	2.433552192
290	1.654449736	2.429577473
291	1.651251929	2.425915615
292	1.648302479	2.422847849
293	1.645411852	2.418407809
294	1.643851148	2.415753528
295	1.640966416	2.41291661
296	1.638475088	2.409878462
297	1.636712753	2.407298535
298	1.635050824	2.405436868
299	1.634800497	2.404409875
300	1.633347783	2.401784759
301	1.630959684	2.397788088
302	1.629666581	2.395756826
303	1.628273443	2.393563599
304	1.62600575	2.390971282
305	1.623591471	2.388314412
306	1.622243393	2.385971356
307	1.620980701	2.384092285
308	1.61911525	2.382041444
309	1.616965211	2.379634135
310	1.614583347	2.376698111
311	1.61173411	2.372650161
312	1.610804815	2.371335687
313	1.608195736	2.368915409
314	1.606482467	2.366554215
315	1.604861377	2.364118371
316	1.604074448	2.362566366
317	1.598030584	2.356154678
318	1.595040593	2.351666508
319	1.594533129	2.34965115
320	1.591293341	2.34584699
321	1.588640343	2.343560247
322	1.58686986	2.341700202
323	1.583101803	2.337733532
324	1.580886395	2.334965457
325	1.579706306	2.333480767
326	1.579136864	2.33187684
327	1.576493997	2.327820073
328	1.573962943	2.324865564
329	1.57219684	2.322436527
330	1.570715363	2.320665744
331	1.569475513	2.318893389
332	1.567268593	2.31678118
333	1.566733918	2.315281164
334	1.563989175	2.311320022
335	1.563765386	2.309996747
336	1.562258005	2.307913332
337	1.561629411	2.306634136
338	1.559056233	2.304081764
339	1.557282843	2.300493802
340	1.556188039	2.298826162
341	1.553884263	2.296129685
342	1.552535998	2.294034974
343	1.550443164	2.290819594
344	1.548088608	2.28818789
345	1.545697783	2.284740078
346	1.54367806	2.282325005
347	1.540727743	2.279265664
348	1.538730201	2.276631154
349	1.537132917	2.274715683
350	1.536878416	2.273387082
351	1.534871718	2.271358758
352	1.533008679	2.26960925
353	1.53116142	2.267766379
354	1.530745938	2.266496806
355	1.528556695	2.263744279
356	1.528049791	2.262640491
357	1.527397707	2.261090682
358	1.524079171	2.25627074
359	1.523006713	2.254753076
360	1.521599954	2.252719628
361	1.520307636	2.250740335
362	1.517790306	2.247669531
363	1.516139516	2.245919877
364	1.513983706	2.2434387
365	1.510855217	2.238514083
366	1.508994785	2.23671792
367	1.507080789	2.233728402
368	1.503090211	2.229073948
369	1.501186234	2.226746496
370	1.498513201	2.223597645
371	1.49703693	2.221764805
372	1.495332162	2.220118914
373	1.492629524	2.216942834
374	1.492123344	2.215686451
375	1.491089086	2.213667187
376	1.489677511	2.210830864
377	1.487812961	2.208543153
378	1.487003057	2.207186045
379	1.486842036	2.206103073
380	1.485125708	2.20415403
381	1.484716953	2.20244946
382	1.483024169	2.200203624
383	1.482576622	2.199199423
384	1.481309783	2.197385387
385	1.480984286	2.196324055
386	1.479226589	2.194440905
387	1.479090922	2.193481309
388	1.478253692	2.19219391
389	1.475992459	2.189446047
390	1.473609507	2.186737016
391	1.472422742	2.185010656
392	1.470792155	2.18328884
393	1.470410202	2.182426116
394	1.468732633	2.180885164
395	1.468464624	2.179961993
396	1.466191943	2.177389837
397	1.46593566	2.175820833
398	1.464289997	2.173644751
399	1.463545476	2.17242981
400	1.463105736	2.170110403
401	1.462050928	2.168506761
402	1.460671424	2.166469942
403	1.459517193	2.164778205
404	1.457440987	2.162431654
405	1.455204402	2.160170433
406	1.453744094	2.158569128
407	1.452774235	2.157428065
408	1.45147246	2.156161685
409	1.448100082	2.152427254
410	1.44693825	2.151291193
411	1.444846452	2.148684391
412	1.443285016	2.146799379
413	1.441671303	2.144392494
414	1.440224522	2.142156592
415	1.438832208	2.140606846
416	1.438015291	2.139378091
417	1.437644093	2.137898732
418	1.436413868	2.136595977
419	1.432979391	2.132738901
420	1.430562341	2.128919315
421	1.430257003	2.128203811
422	1.428064449	2.12530466
423	1.426988799	2.123976673
424	1.424976889	2.121752511
425	1.423623622	2.120189963
426	1.422044972	2.118474612
427	1.419039727	2.115040692
428	1.417702851	2.113706943
429	1.4158778	2.111490687
430	1.414978757	2.110139159
431	1.414679888	2.109707563
432	1.413784766	2.108554936
433	1.412711555	2.107018107
434	1.410536878	2.103641588
435	1.409244251	2.102453026
436	1.407973964	2.101215888
437	1.406650766	2.09972262
438	1.405237896	2.098250278
439	1.404161926	2.09697737
440	1.402314995	2.094432447
441	1.401746495	2.093578936
442	1.400092744	2.091623994
443	1.398780167	2.089946058
444	1.397998346	2.088949177
445	1.396341579	2.08693588
446	1.395605681	2.086075816
447	1.394664522	2.084876198
448	1.393851733	2.083963301
449	1.393231513	2.082352163
450	1.39160606	2.080220512
451	1.391007962	2.07958315
452	1.38991168	2.078088056
453	1.38919105	2.077326275
454	1.387562141	2.075640318
455	1.386457732	2.074275847
456	1.383760524	2.070934604
457	1.382147586	2.069115253
458	1.381307796	2.068117329
459	1.380362342	2.066869448
460	1.378656922	2.065046959
461	1.37677361	2.062668979
462	1.375368255	2.061226756
463	1.374386158	2.060163246
464	1.372521393	2.057259838
465	1.371954742	2.055938245
466	1.370660849	2.054650997
467	1.368720428	2.052011587
468	1.367207487	2.050455424
469	1.36651569	2.048840085
470	1.365258224	2.047547997
471	1.363424791	2.04542298
472	1.363353814	2.044759013
473	1.363054323	2.044212914
474	1.361505298	2.042223198
475	1.360152786	2.040720226
476	1.359207647	2.039684147
477	1.35857603	2.039019896
478	1.35796083	2.037522997
479	1.357233599	2.035711443
480	1.356031903	2.033318692
481	1.355685656	2.032526523
482	1.355006333	2.03169734
483	1.353269349	2.029581612
484	1.352624117	2.0279279
485	1.351305018	2.026548116
486	1.351154883	2.026047663
487	1.35052537	2.025148922
488	1.349806794	2.024299182
489	1.348059262	2.02156316
490	1.347732886	2.020795787
491	1.347555512	2.020273706
492	1.346127554	2.018664387
493	1.345758532	2.01767841
494	1.343497299	2.015489685
495	1.341439615	2.013488305
496	1.339996201	2.01189215
497	1.338756861	2.01041499
498	1.338083279	2.009527182
499	1.337476079	2.008486312
500	1.336831817	2.007323516
501	1.335344865	2.00570283
502	1.334362693	2.004207075
503	1.333811733	2.002694597
504	1.332263446	2.000699269
505	1.331264429	1.999861137
506	1.330896488	1.999050481
507	1.330068087	1.997983154
508	1.329473138	1.996912023
509	1.328699018	1.995707385
510	1.327269708	1.994258166
511	1.325879859	1.992755337
512	1.324142156	1.990835207
513	1.322698133	1.98933116
514	1.321306485	1.987899625
515	1.320700676	1.987245703
516	1.319333941	1.985803014
517	1.317717055	1.984044779
518	1.317089423	1.983149025
519	1.316509435	1.982313517
520	1.315162182	1.980878856
521	1.314411633	1.979963988
522	1.313167487	1.978663739
523	1.311732148	1.976777878
524	1.311105666	1.97602372
525	1.31071471	1.975476674
526	1.310056599	1.974607896
527	1.309350024	1.973646918
528	1.308320909	1.972586735
529	1.307961423	1.971846224
530	1.307413725	1.971268023
531	1.306767718	1.970383593
532	1.305726949	1.969436957
533	1.304850184	1.967886102
534	1.303449832	1.966348092
535	1.303066686	1.964693813
536	1.301705459	1.962992283
537	1.301160712	1.96214504
538	1.300291121	1.961206888
539	1.299751974	1.960597735
540	1.299151778	1.959904599
541	1.298404391	1.958949572
542	1.297644085	1.957905697
543	1.297295824	1.957409914
544	1.295532559	1.955523359
545	1.294616589	1.954504807
546	1.293855003	1.953438673
547	1.292545033	1.951835731
548	1.290964414	1.950007769
549	1.290604619	1.948945609
550	1.289357215	1.947278936
551	1.288621394	1.946141443
552	1.287133226	1.944554197
553	1.286464315	1.94363927
554	1.285695003	1.942932543
555	1.284282176	1.94152023
556	1.283352964	1.940507293
557	1.28255391	1.939465797
558	1.282173611	1.93823856
559	1.281505084	1.93738855
560	1.280745788	1.936495246
561	1.280209261	1.935791866
562	1.278948059	1.934702596
563	1.278380422	1.933913358
564	1.277928416	1.93334121
565	1.276900951	1.932089833
566	1.275186578	1.930440346
567	1.274161021	1.929086801
568	1.273849578	1.928617794
569	1.273017849	1.927613171
570	1.272872787	1.92723011
571	1.272396956	1.926292194
572	1.271623757	1.92532527
573	1.270826653	1.924498513
574	1.270420182	1.924052612
575	1.269870592	1.923034513
576	1.268881715	1.922020445
577	1.267338653	1.919753962
578	1.267025269	1.919395002
579	1.266846904	1.919189267
580	1.265481894	1.917949554
581	1.264978459	1.917298249
582	1.264490657	1.916371264
583	1.263773951	1.91572475
584	1.263131927	1.914735203
585	1.262185234	1.913559526
586	1.260758892	1.912024125
587	1.259296138	1.910299693
588	1.258874541	1.909751873
589	1.258295761	1.909027243
590	1.257986584	1.908663229
591	1.25726599	1.907978258
592	1.256337609	1.906643265
593	1.255113171	1.905302166
594	1.253945231	1.903544846
595	1.253837337	1.903429573
596	1.252726037	1.902371157
597	1.252014	1.901436948
598	1.251575822	1.900880862
599	1.25094191	1.899807435
600	1.250707968	1.89895446
601	1.249393293	1.897684902
602	1.248175969	1.896563847
603	1.247662206	1.895266917
604	1.247074464	1.894578862
605	1.246282112	1.893536722
606	1.245821817	1.892796631
607	1.24531046	1.892270654
608	1.24488477	1.891649552
609	1.244540756	1.890525214
610	1.243778515	1.889618189
611	1.241872365	1.887334132
612	1.241106403	1.886367524
613	1.240659683	1.885631549
614	1.240136533	1.884992719
615	1.239645115	1.884442954
616	1.238511166	1.883112918
617	1.238016508	1.882506411
618	1.237299788	1.881612972
619	1.236724482	1.880847455
620	1.236026951	1.879765882
621	1.234272027	1.87772684
622	1.233906013	1.87730063
623	1.23386601	1.877175225
624	1.23269809	1.875686292
625	1.232532385	1.87549008
626	1.231440629	1.874271446
627	1.230347995	1.873002463
628	1.230132764	1.872663251
629	1.229849674	1.872180491
630	1.228684845	1.871098016
631	1.228578047	1.870691992
632	1.228388323	1.869917122
633	1.228345221	1.8696729
634	1.228198731	1.868618512
635	1.227653988	1.867919549
636	1.227361382	1.867569015
637	1.226210994	1.866443034
638	1.225381239	1.865505393
639	1.22466369	1.864641657
640	1.223801783	1.863730043
641	1.223186599	1.86298776
642	1.222675266	1.862455733
643	1.221693741	1.861736475
644	1.221288096	1.861308585
645	1.220759691	1.860495004
646	1.220583243	1.860065443
647	1.220143378	1.859617433
648	1.219964818	1.859303971
649	1.219401148	1.858653204
650	1.21881466	1.857719344
651	1.218318116	1.857293646
652	1.217226945	1.855732638
653	1.216624946	1.855085418
654	1.21594393	1.8543375
655	1.215371863	1.853615385
656	1.21412214	1.852340631
657	1.213672446	1.851939169
658	1.212579884	1.850967899
659	1.211423892	1.849511807
660	1.211284847	1.848513794
661	1.210571169	1.847286168
662	1.210066544	1.846577565
663	1.208827757	1.845129347
664	1.208804477	1.84505192
665	1.207796586	1.843816813
666	1.206914217	1.842854621
667	1.20578772	1.841334707
668	1.205029823	1.840452183
669	1.204015678	1.83906547
670	1.202978827	1.837827033
671	1.202362782	1.836972682
672	1.200819784	1.835353623
673	1.200498609	1.834967179
674	1.199911093	1.834379475
675	1.19955588	1.8336839
676	1.199373899	1.832963057
677	1.199002012	1.832670298
678	1.198838632	1.832010794
679	1.198477295	1.83105392
680	1.198107716	1.830503067
681	1.198076241	1.830407027
682	1.196972724	1.829119199
683	1.19683949	1.828807891
684	1.195629764	1.827563698
685	1.195235805	1.826653193
686	1.195135197	1.826349408
687	1.194610802	1.825469362
688	1.194311393	1.824454579
689	1.193751738	1.823794398
690	1.193402805	1.823368887
691	1.192908966	1.822404464
692	1.192354363	1.821861544
693	1.192090678	1.821390984
694	1.191439565	1.820509984
695	1.190769646	1.819740718
696	1.189864407	1.818981969
697	1.189486504	1.818389465
698	1.189287466	1.817584954
699	1.188433146	1.816559974
700	1.187623372	1.8152777
701	1.1865152	1.814203158
702	1.185681452	1.813283463
703	1.184819887	1.812525737
704	1.184622541	1.812219266
705	1.184344924	1.811278211
706	1.184063986	1.810912228
707	1.183918308	1.810066365
708	1.182984479	1.808878805
709	1.182284866	1.808079075
710	1.181592293	1.80728519
711	1.181020523	1.806553643
712	1.180554435	1.805963422
713	1.18015536	1.805437706
714	1.179662553	1.804928971
715	1.178855733	1.803915488
716	1.178704529	1.803549917
717	1.178406255	1.802943223
718	1.177591199	1.802147404
719	1.17695515	1.801074359
720	1.176669873	1.800293133
721	1.176514322	1.799944701
722	1.176225168	1.799432718
723	1.175513787	1.798595607
724	1.174961761	1.797895781
725	1.174540862	1.797378782
726	1.174457497	1.797134517
727	1.173352397	1.795916648
728	1.172750667	1.795115439
729	1.171966085	1.794238818
730	1.171575748	1.793739737
731	1.171140609	1.793146354
732	1.170652219	1.792628609
733	1.169678687	1.791531261
734	1.168807864	1.790859648
735	1.168538544	1.790194793
736	1.16840076	1.78952511
737	1.168166957	1.788913078
738	1.16788015	1.788335104
739	1.167660791	1.788048657
740	1.167253327	1.78757955
741	1.166634693	1.786741089
742	1.166117588	1.786074731
743	1.165145302	1.784827618
744	1.16432115	1.783766307
745	1.163386872	1.782971418
746	1.16312203	1.782237646
747	1.162794724	1.781323748
748	1.162469391	1.780925533
749	1.161430837	1.779842161
750	1.160647529	1.778850654
751	1.159706924	1.777571127
752	1.159448926	1.77700199
753	1.158712807	1.77608837
754	1.157885367	1.77539694
755	1.157738484	1.775100236
756	1.157261003	1.774593834
757	1.15708937	1.774328505
758	1.156660541	1.773747376
759	1.155750114	1.772900119
760	1.155490792	1.772538911
761	1.155435716	1.772379601
762	1.155362978	1.772246991
763	1.15519295	1.771479054
764	1.154964803	1.771202986
765	1.154913592	1.7710137
766	1.154596055	1.770082324
767	1.153911282	1.769297668
768	1.153668613	1.768742612
769	1.153399281	1.768351836
770	1.152714955	1.767612129
771	1.152444605	1.767232116
772	1.151747216	1.766518467
773	1.151695124	1.76636854
774	1.151663486	1.766225516
775	1.151516249	1.765272053
776	1.151431643	1.765154575
777	1.150830352	1.764503727
778	1.150675391	1.764085506
779	1.150191135	1.763694633
780	1.150144987	1.763518972
781	1.149961906	1.7631599
782	1.149231449	1.76247403
783	1.14864253	1.761810591
784	1.148397069	1.761441794
785	1.14805	1.761034726
786	1.147870957	1.760531512
787	1.147736303	1.759634541
788	1.147610084	1.759373502
789	1.146891666	1.75827454
790	1.146040756	1.757437027
791	1.145786616	1.756219663
792	1.145700388	1.755471268
793	1.144912666	1.754588327
794	1.144440866	1.754073847
795	1.144139846	1.753395908
796	1.143743598	1.752286495
797	1.143395425	1.751989229
798	1.143215642	1.751132525
799	1.143111925	1.750900881
800	1.142758054	1.750372159
801	1.142477836	1.749742136
802	1.142036926	1.74896735
803	1.141447086	1.748517894
804	1.141284713	1.74821721
805	1.140484058	1.747296158
806	1.139963112	1.746740485
807	1.139842119	1.745955604
808	1.139618912	1.745666641
809	1.139270876	1.745197568
810	1.138826441	1.744699523
811	1.138331377	1.744108351
812	1.137563415	1.743120645
813	1.137012769	1.742412259
814	1.136570805	1.742001461
815	1.136194631	1.741518148
816	1.135096882	1.740626532
817	1.134528919	1.739959589
818	1.133754713	1.739300659
819	1.13324337	1.738668476
820	1.132548985	1.737806695
821	1.132477929	1.737555957
822	1.132294869	1.737064016
823	1.131606172	1.736183692
824	1.131172697	1.735765029
825	1.131071955	1.735564367
826	1.130930602	1.735338834
827	1.130737993	1.734429192
828	1.130562424	1.734221336
829	1.13036592	1.733886666
830	1.13011212	1.733334563
831	1.1298581	1.732554478
832	1.129730655	1.732178398
833	1.12924679	1.731652982
834	1.128333429	1.730543949
835	1.127963274	1.729712329
836	1.127729284	1.729480431
837	1.127396655	1.728842325
838	1.127313852	1.728584998
839	1.126775978	1.727952004
840	1.126625985	1.727678227
841	1.125841522	1.726895097
842	1.125799474	1.7265744
843	1.125316875	1.726084571
844	1.125129101	1.725805857
845	1.124546121	1.725289556
846	1.12448781	1.725206335
847	1.123776358	1.724632194
848	1.12351952	1.724175802
849	1.12299777	1.723265573
850	1.122599065	1.722866008
851	1.122121048	1.722203104
852	1.121361013	1.721488128
853	1.121128648	1.72076705
854	1.120622784	1.720026789
855	1.120361641	1.719765795
856	1.120346841	1.719720007
857	1.119991436	1.719238687
858	1.119372877	1.718707072
859	1.118357556	1.717599151
860	1.11810488	1.717230712
861	1.117628429	1.716754838
862	1.117240273	1.716402617
863	1.117152446	1.71622774
864	1.116224969	1.715007005
865	1.116008033	1.714686824
866	1.115177593	1.713794145
867	1.113948766	1.712456687
868	1.113302159	1.71182805
869	1.113042963	1.711302255
870	1.112623239	1.710819921
871	1.112408624	1.710418317
872	1.112072408	1.709917488
873	1.111687098	1.709558073
874	1.110733542	1.708652188
875	1.109894901	1.707809404
876	1.109859125	1.707599445
877	1.109150738	1.706962747
878	1.108968969	1.706694981
879	1.108861742	1.706390146
880	1.108819882	1.706188222
881	1.108742487	1.705948349
882	1.108077882	1.705350014
883	1.107096546	1.704268962
884	1.106583835	1.703696167
885	1.105237215	1.701503831
886	1.104605133	1.700858615
887	1.104314905	1.700419324
888	1.103851348	1.699609831
889	1.10343282	1.699191941
890	1.103286851	1.69869914
891	1.102084355	1.69727313
892	1.101599144	1.696721044
893	1.100922382	1.696034735
894	1.10072261	1.695769006
895	1.099953352	1.694758408
896	1.099930824	1.694721188
897	1.099149998	1.694020064
898	1.098751895	1.693541852
899	1.097888773	1.692646434
900	1.096909646	1.691648703
901	1.096736078	1.69026869
902	1.096698199	1.690079181
903	1.096399325	1.689595529
904	1.096264128	1.689389552
905	1.096085009	1.689074728
906	1.096003878	1.688413375
907	1.095441205	1.687836046
908	1.095020146	1.687251615
909	1.094375487	1.686584039
910	1.093414017	1.68494874
911	1.092989727	1.684531578
912	1.092456175	1.684032348
913	1.092073219	1.683430475
914	1.09142989	1.682706027
915	1.090907216	1.682197864
916	1.090624516	1.681722989
917	1.090423717	1.681536748
918	1.089626205	1.680745884
919	1.089595553	1.680467
920	1.089573957	1.680211452
921	1.0889989	1.679680399
922	1.088290556	1.678896615
923	1.087937898	1.677995474
924	1.087642523	1.677668286
925	1.087218138	1.677118768
926	1.086883794	1.67673828
927	1.086548249	1.676324172
928	1.086445031	1.676123733
929	1.085333845	1.674932703
930	1.08460465	1.674217565
931	1.084324174	1.673834584
932	1.083588924	1.67293062
933	1.083188277	1.672436217
934	1.082542266	1.671797968
935	1.082148849	1.671299127
936	1.081639946	1.670834016
937	1.081345044	1.670559769
938	1.081314036	1.670392898
939	1.080766866	1.669785556
940	1.080291241	1.669217416
941	1.08022475	1.669087565
942	1.08015187	1.668858942
943	1.0800298	1.66870489
944	1.079113886	1.667816127
945	1.078961345	1.667493117
946	1.078795876	1.667251348
947	1.078277818	1.666647302
948	1.078014448	1.665943544
949	1.077624011	1.66543476
950	1.075880544	1.663593501
951	1.075811799	1.66331849
952	1.075590303	1.66305282
953	1.075309481	1.662678178
954	1.075003671	1.662351958
955	1.074886535	1.662181841
956	1.074851052	1.661846332
957	1.074585376	1.661379723
958	1.074453545	1.661178786
959	1.07390809	1.660528631
960	1.073804795	1.660396146
961	1.073437134	1.659740493
962	1.073183931	1.659485168
963	1.072385218	1.658676681
964	1.072211434	1.658300594
965	1.071595033	1.657680195
966	1.071568477	1.657613931
967	1.071146686	1.657061238
968	1.070973371	1.656452995
969	1.070918407	1.656333161
970	1.070634178	1.656018273
971	1.070152976	1.655448564
972	1.069952692	1.655147025
973	1.069455128	1.654699251
974	1.069057909	1.654197801
975	1.068520736	1.653634073
976	1.068263504	1.6531241
977	1.068213657	1.653009756
978	1.068090355	1.652554473
979	1.067971459	1.652396778
980	1.067836508	1.65209989
981	1.067341027	1.651452639
982	1.067289895	1.651032267
983	1.066874227	1.650625533
984	1.066534108	1.650088523
985	1.066335344	1.649653098
986	1.066188896	1.649126368
987	1.065289898	1.648140557
988	1.065151052	1.647817835
989	1.064683998	1.64732898
990	1.064581505	1.647197336
991	1.063060213	1.645588396
992	1.062817278	1.645255115
993	1.062125348	1.644588114
994	1.061669188	1.64411734
995	1.061530073	1.643387478
996	1.061151088	1.642985124
997	1.060984058	1.642764556
